Date,High,Low,Close,Open
2020-05-19,14590.65,14432.85,14563.45,14473.8
2020-05-20,14653.35,14435.7,14564.85,14639.8
2020-05-21,14617.8,14471.5,14595.6,14550.05
2020-05-22,14617.45,14357.85,14433.7,14594.35
2020-05-23,14459.15,14222.8,14281.3,14453.3
2020-05-24,14546.05,14350.85,14521.15,14371.65
2020-05-25,14666.45,14517.55,14644.7,14538.3
2020-05-26,14753.55,14517.25,14590.35,14730.95
2020-05-27,14619.9,14357.75,14371.9,14583.4
2020-05-28,14491.1,14218.6,14238.9,14477.8
2020-05-29,14237.95,13929.3,13967.5,14237.95
2020-05-30,13898.25,13713.25,13817.55,13810.4
2020-05-31,13966.85,13596.75,13634.6,13946.6
2020-06-01,14336.35,13661.75,14281.2,13758.6
2020-06-02,14731.7,14469.15,14647.85,14481.1
2020-06-03,14868.85,14574.15,14789.95,14754.9
2020-06-04,14913.7,14714.75,14895.65,14789.05
2020-06-05,15014.65,14864.75,14924.25,14952.6
2020-06-06,15159.9,15041.05,15115.8,15064.3
2020-06-07,15257.1,15064.3,15109.3,15164.15
2020-06-08,15168.25,14977.2,15106.5,15119.05
2020-06-09,15188.5,15065.4,15173.3,15073.25
2020-06-10,15243.5,15081,15163.3,15186.2
2020-06-11,15340.15,15243.4,15314.7,15270.3
2020-06-12,15431.75,15242.2,15313.45,15371.45
2020-06-13,15314.3,15170.75,15208.9,15279.9
2020-06-14,15250.75,15078.05,15118.95,15238.7
2020-06-15,15144.05,14898.2,14981.75,15074.8
2020-06-16,15010.1,14635.05,14675.7,14999.05
2020-06-17,14854.5,14651.85,14707.8,14782.25
2020-06-18,15008.8,14723.05,14982,14729.15
2020-06-19,15176.5,15065.35,15097.35,15079.85
2020-06-20,14919.45,14467.75,14529.15,14888.6
2020-06-21,14806.8,14638.55,14761.55,14702.5
2020-06-22,14959.1,14760.8,14919.1,14865.3
2020-06-23,15273.15,14995.8,15245.6,15064.4
2020-06-24,15202.35,14980.2,15080.75,15026.75
2020-06-25,15092.35,14862.1,14938.1,14977.95
2020-06-26,15111.15,14919.9,14956.2,15002.45
2020-06-27,15126.85,14925.45,15098.4,15049.9
2020-06-28,15218.45,15100.85,15174.8,15202.15
2020-06-29,15336.3,14953.6,15030.95,15321.15
2020-06-30,15048.4,14745.85,14929.5,15048.4
2020-07-01,15051.6,14890.65,14910.45,14996.1
2020-07-02,14956.55,14696.05,14721.3,14946.55
2020-07-03,14875.2,14478.6,14557.85,14855.5
2020-07-04,14788.25,14350.1,14744,14471.15
2020-07-05,14763.9,14597.85,14736.4,14736.3
2020-07-06,14878.6,14707,14814.75,14768.55
2020-07-07,14752.35,14535,14549.4,14712.45
2020-07-08,14575.6,14264.4,14324.9,14570.9
2020-07-09,14572.9,14414.25,14507.3,14506.3
2020-07-10,14876.3,14617.6,14845.1,14628.5
2020-07-11,14813.75,14670.25,14690.7,14811.85
2020-07-12,14883.2,14692.45,14867.35,14798.4
2020-07-13,14849.85,14459.5,14637.8,14837.7
2020-07-14,14779.1,14573.9,14683.5,14737
2020-07-15,14879.8,14649.85,14819.05,14716.45
2020-07-16,14984.15,14821.1,14873.8,14875.65
2020-07-17,14918.45,14785.65,14834.85,14882.65
2020-07-18,14652.5,14248.7,14310.8,14644.65
2020-07-19,14528.9,14274.9,14504.8,14364.9
2020-07-20,14597.55,14353.2,14581.45,14522.4
2020-07-21,14697.7,14559,14617.85,14599.6
2020-07-22,14382.3,14191.4,14359.45,14306.6
2020-07-23,14526.95,14207.3,14296.4,14526.7
2020-07-24,14424.75,14151.4,14406.15,14219.15
2020-07-25,14461.15,14273.3,14341.35,14326.35
2020-07-26,14557.5,14421.3,14485,14449.45
2020-07-27,14667.55,14484.85,14653.05,14493.8
2020-07-28,14890.25,14694.95,14864.55,14710.5
